code,product_url,specific_search_intent,family_topic,title,description
MTT-R0510,https://mttpackaging.com/products/holiday-hamper-layers-tiered,custom holiday food hamper Two-tier lift-off box,Rigid gift boxes,Custom Holiday Food Hamper Two-Tier Lift-Off Box | MTT Packaging,"Custom holiday food hamper packaging in a two-tier lift-off box, with two removable wrapped-food trays. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0511,https://mttpackaging.com/products/mooncake-and-tea-pairing-lift-off,custom mooncake tea gift Lift-off lid,Rigid gift boxes,Custom Mooncake Tea Gift Lift-Off Lid Box | MTT Packaging,"Custom mooncake tea gift packaging in a lift-off lid box, with two wrapped-food cells and a tin well. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0512,https://mttpackaging.com/products/shortbread-pull-out-gift-drawer,custom shortbread gift Drawer box,Rigid gift boxes,Custom Shortbread Gift Drawer Box | MTT Packaging,"Custom shortbread gift packaging in a drawer box, with four wrapped-biscuit divisions. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0513,https://mttpackaging.com/products/gourmet-condiment-trio-book,custom condiment gift set Magnetic book box,Rigid gift boxes,Custom Condiment Gift Set Magnetic Book Box | MTT Packaging,"Custom condiment gift set packaging in a magnetic book box, with three sealed-jar wells. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0514,https://mttpackaging.com/products/new-year-pastry-gift-double-door,custom new year pastry Double-door box,Rigid gift boxes,Custom New Year Pastry Double-Door Box | MTT Packaging,"Custom new year pastry packaging in a double-door box, with eight wrapped-food compartments. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0515,https://mttpackaging.com/products/honey-reserve-gift-shoulder,custom honey jar gift Shoulder-neck box,Rigid gift boxes,Custom Honey Jar Gift Shoulder-Neck Box | MTT Packaging,"Custom honey jar gift packaging in a shoulder-neck box, with one sealed honey-jar well. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0516,https://mttpackaging.com/products/celebration-cookie-cabinet-stacked-drawers,custom cookie assortment Two-drawer box,Rigid gift boxes,Custom Cookie Assortment Two-Drawer Box | MTT Packaging,"Custom cookie assortment packaging in a two-drawer box, with six wrapped-cookie cells per drawer. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0517,https://mttpackaging.com/products/regional-delicacy-selection-hexagonal,custom regional food gift Hexagonal lift-off box,Rigid gift boxes,Custom Regional Food Gift Hexagonal Lift-Off Box | MTT Packaging,"Custom regional food gift packaging in a hexagonal lift-off box, with four differently sized sealed-pack wells. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0518,https://mttpackaging.com/products/festive-sweet-drawers-stacked-drawers,custom festive sweet Two-drawer box,Rigid gift boxes,Custom Festive Sweet Two-Drawer Box | MTT Packaging,"Custom festive sweet packaging in a two-drawer box, with two drawers of wrapped confection compartments. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0519,https://mttpackaging.com/products/round-biscuit-tin-gift-round,custom biscuit tin Round lift-off box,Rigid gift boxes,Custom Biscuit Tin Round Lift-Off Box | MTT Packaging,"Custom biscuit tin packaging in a round lift-off box, with one sealed round tin recess. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0520,https://mttpackaging.com/products/seasonal-food-collection-tiered,custom seasonal food gift Two-tier lift-off box,Rigid gift boxes,Custom Seasonal Food Gift Two-Tier Lift-Off Box | MTT Packaging,"Custom seasonal food gift packaging in a two-tier lift-off box, with removable trays for individually sealed foods. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0601,https://mttpackaging.com/products/executive-notebook-set-lift-off,custom notebook gift set Lift-off lid,Rigid gift boxes,Custom Notebook Gift Set Lift-Off Lid Box | MTT Packaging,"Custom notebook gift set packaging in a lift-off lid box, with a notebook well and one pen channel. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0602,https://mttpackaging.com/products/client-welcome-gift-drawer,custom client welcome gift Drawer box,Rigid gift boxes,Custom Client Welcome Gift Drawer Box | MTT Packaging,"Custom client welcome gift packaging in a drawer box, with three rectangular accessory compartments. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0603,https://mttpackaging.com/products/desk-essentials-collection-book,custom desk accessory gift Magnetic book box,Rigid gift boxes,Custom Desk Accessory Gift Magnetic Book Box | MTT Packaging,"Custom desk accessory gift packaging in a magnetic book box, with a notebook recess and two accessory wells. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0604,https://mttpackaging.com/products/christmas-client-gift-double-door,custom Christmas corporate gift Double-door box,Rigid gift boxes,Custom Christmas Corporate Gift Double-Door Box | MTT Packaging,"Custom Christmas corporate gift packaging in a double-door box, with four equal gift compartments. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0605,https://mttpackaging.com/products/commemorative-keepsake-shoulder,custom commemorative gift Shoulder-neck box,Rigid gift boxes,Custom Commemorative Gift Shoulder-Neck Box | MTT Packaging,"Custom commemorative gift packaging in a shoulder-neck box, with one square padded presentation recess. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0606,https://mttpackaging.com/products/employee-welcome-drawers-stacked-drawers,custom employee welcome kit Two-drawer box,Rigid gift boxes,Custom Employee Welcome Kit Two-Drawer Box | MTT Packaging,"Custom employee welcome kit packaging in a two-drawer box, with a stationery drawer and an accessory drawer. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0607,https://mttpackaging.com/products/event-invitation-suite-hexagonal,custom event invitation Hexagonal lift-off box,Rigid gift boxes,Custom Event Invitation Hexagonal Lift-Off Box | MTT Packaging,"Custom event invitation packaging in a hexagonal lift-off box, with one flat card well and a token recess. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0608,https://mttpackaging.com/products/corporate-gift-library-stacked-drawers,custom corporate gift set Two-drawer box,Rigid gift boxes,Custom Corporate Gift Set Two-Drawer Box | MTT Packaging,"Custom corporate gift set packaging in a two-drawer box, with two drawers with three accessory wells. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0609,https://mttpackaging.com/products/celebration-candle-gift-round,custom candle gift Round lift-off box,Rigid gift boxes,Custom Candle Gift Round Lift-Off Box | MTT Packaging,"Custom candle gift packaging in a round lift-off box, with one round jar recess. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0610,https://mttpackaging.com/products/vip-presentation-layers-tiered,custom VIP gift set Two-tier lift-off box,Rigid gift boxes,Custom Vip Gift Set Two-Tier Lift-Off Box | MTT Packaging,"Custom VIP gift set packaging in a two-tier lift-off box, with two removable mixed-accessory trays. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0611,https://mttpackaging.com/products/pen-and-journal-gift-lift-off,custom pen journal gift set Lift-off lid,Rigid gift boxes,Custom Pen Journal Gift Set Lift-Off Lid Box | MTT Packaging,"Custom pen journal gift set packaging in a lift-off lid box, with one flat notebook recess and two pen channels. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0612,https://mttpackaging.com/products/conference-welcome-kit-drawer,custom conference welcome kit Drawer box,Rigid gift boxes,Custom Conference Welcome Kit Drawer Box | MTT Packaging,"Custom conference welcome kit packaging in a drawer box, with a badge well and two gift compartments. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0613,https://mttpackaging.com/products/silk-scarf-presentation-book,custom silk scarf Magnetic book box,Rigid gift boxes,Custom Silk Scarf Magnetic Book Box | MTT Packaging,"Custom silk scarf packaging in a magnetic book box, with one broad shallow lined compartment. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0614,https://mttpackaging.com/products/milestone-anniversary-gift-double-door,custom anniversary gift Double-door box,Rigid gift boxes,Custom Anniversary Gift Double-Door Box | MTT Packaging,"Custom anniversary gift packaging in a double-door box, with one central keepsake recess and two side wells. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0615,https://mttpackaging.com/products/boutique-accessory-gift-shoulder,custom boutique accessory Shoulder-neck box,Rigid gift boxes,Custom Boutique Accessory Shoulder-Neck Box | MTT Packaging,"Custom boutique accessory packaging in a shoulder-neck box, with one padded accessory recess. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0616,https://mttpackaging.com/products/festive-corporate-cabinet-stacked-drawers,custom festive corporate gift Two-drawer box,Rigid gift boxes,Custom Festive Corporate Gift Two-Drawer Box | MTT Packaging,"Custom festive corporate gift packaging in a two-drawer box, with four compartments in each drawer. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0617,https://mttpackaging.com/products/partner-appreciation-set-hexagonal,custom partner appreciation gift Hexagonal lift-off box,Rigid gift boxes,Custom Partner Appreciation Gift Hexagonal Lift-Off Box | MTT Packaging,"Custom partner appreciation gift packaging in a hexagonal lift-off box, with a card pocket and two gift recesses. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0618,https://mttpackaging.com/products/brand-launch-collection-stacked-drawers,custom brand launch kit Two-drawer box,Rigid gift boxes,Custom Brand Launch Kit Two-Drawer Box | MTT Packaging,"Custom brand launch kit packaging in a two-drawer box, with two drawers with flat sample divisions. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0619,https://mttpackaging.com/products/round-keepsake-presentation-round,custom keepsake gift Round lift-off box,Rigid gift boxes,Custom Keepsake Gift Round Lift-Off Box | MTT Packaging,"Custom keepsake gift packaging in a round lift-off box, with one circular lined presentation well. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0620,https://mttpackaging.com/products/premium-onboarding-set-tiered,custom employee onboarding kit Two-tier lift-off box,Rigid gift boxes,Custom Employee Onboarding Kit Two-Tier Lift-Off Box | MTT Packaging,"Custom employee onboarding kit packaging in a two-tier lift-off box, with a stationery tray above an accessory tray. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0701,https://mttpackaging.com/products/custom-wine-packaging-set,custom single wine bottle gift box Lift-off lid,Rigid gift boxes,Custom Single wine bottle gift box | MTT Packaging,"Single wine bottle gift box in burgundy and ivory, with shaped fibre bottle insert. A fully removable lid sits separately from the rigid base; no hinge. Customize size and quantities with MTT."
MTT-R0801,https://mttpackaging.com/products/custom-diffuser-packaging-set,custom reed diffuser and sticks gift box Drawer box,Rigid gift boxes,Custom Reed diffuser and sticks gift box | MTT Packaging,"Reed diffuser and sticks gift box in sage and ivory, with separate bottle and reed-stick recesses. The tray slides from its outer sleeve; bottle and sticks have separate positions. Customize size and quantities with MTT."
MTT-R0802,https://mttpackaging.com/products/custom-candle-packaging-set,custom amber candle jar presentation box Shoulder-neck box,Rigid gift boxes,Custom Amber candle jar presentation box | MTT Packaging,"Amber candle jar presentation box in ivory and terracotta, with paperboard insert around candle jar. A separate lid fits over a raised shoulder; it is not hinged. Customize size and quantities with MTT."
MTT-R0901,https://mttpackaging.com/products/custom-christmas-packaging-set,custom christmas corporate gift set Magnetic book box,Rigid gift boxes,Custom Christmas corporate gift set | MTT Packaging,"Christmas corporate gift set in midnight blue and red, with two compartments for wrapped gifts. One cover turns on its rear spine; concealed magnets close the cover. Customize size and quantities with MTT."
MTT-C0101,https://mttpackaging.com/products/custom-carton-packaging-set,custom skincare bottle folding carton Tuck-end carton,Folding cartons,Custom Skincare bottle folding carton | MTT Packaging,"Skincare bottle folding carton in sage and ivory, with folded paperboard bottle support. Thin creased paperboard with a top tuck flap, dust flaps and a glued side seam. Customize size and quantities with MTT."
MTT-E0101,https://mttpackaging.com/products/custom-corrugated-packaging-set,custom kraft product mailer with thank-you card Roll-end mailer,Corrugated packaging,Custom Kraft product mailer with thank-you card | MTT Packaging,"Kraft product mailer with thank-you card in natural kraft and black, with paper insert; protection reviewed with contents. Integrated hinged lid and locking side wings form a corrugated mailer; no magnets. Customize size and quantities with MTT."
MTT-B0101,https://mttpackaging.com/products/custom-bag-packaging-set,custom burgundy ribbon-handle gift bag Ribbon-handle bag,Custom paper bags,Custom Burgundy ribbon-handle gift bag | MTT Packaging,"Burgundy ribbon-handle gift bag in burgundy and gold, with reinforced base and handle attachment. Side gussets and a rectangular reinforced bottom; ribbon handles fixed at the top. Customize size and quantities with MTT."
MTT-R0702,https://mttpackaging.com/products/twin-wine-double-door-gift-box,custom twin wine double-door gift box Double-door rigid box,Rigid gift boxes,Custom Twin wine double-door gift box | MTT Packaging,"Twin wine double-door gift box with two fitted bottle cavities and fine gold geometric foil border. Customize dimensions, artwork and optional accessories with MTT."
MTT-R0803,https://mttpackaging.com/products/hexagonal-diffuser-lift-off-gift-box,custom hexagonal diffuser presentation box Hexagonal lift-off box,Rigid gift boxes,Custom Hexagonal diffuser presentation box | MTT Packaging,"Hexagonal diffuser presentation box with bottle cavity and separate reed channel and copper foil line accents. Customize dimensions, artwork and optional accessories with MTT."
MTT-R0902,https://mttpackaging.com/products/four-drawer-christmas-gift-cabinet,custom four-drawer christmas gift cabinet Four-drawer rigid cabinet,Rigid gift boxes,Custom Four-drawer Christmas gift cabinet | MTT Packaging,"Four-drawer Christmas gift cabinet with removable drawer partitions and gold star foil accents. Customize dimensions, artwork and optional accessories with MTT."
MTT-C0102,https://mttpackaging.com/products/window-bakery-folding-carton,custom window bakery gift carton Window tuck-end carton,Folding cartons,Custom Window bakery gift carton | MTT Packaging,"Window bakery gift carton with folded paper platform and printed border and transparent window patch. Customize dimensions, artwork and optional accessories with MTT."
MTT-E0102,https://mttpackaging.com/products/three-compartment-skincare-mailer,custom three-compartment skincare mailer Divided roll-end mailer,Corrugated packaging,Custom Three-compartment skincare mailer | MTT Packaging,"Three-compartment skincare mailer with three paperboard compartments and blue interior printing. Customize dimensions, artwork and optional accessories with MTT."
MTT-B0102,https://mttpackaging.com/products/single-wine-cotton-handle-paper-bag,custom single wine cotton-handle paper bag Cotton-handle bottle bag,Custom paper bags,Custom Single wine cotton-handle paper bag | MTT Packaging,"Single wine cotton-handle paper bag with reinforced rectangular bottom and folded top and small copper foil grape motif. Customize dimensions, artwork and optional accessories with MTT."
MTT-C0103,https://mttpackaging.com/products/custom-perfume-bottle-tuck,custom perfume bottle Tuck-end carton,Folding cartons,Custom Perfume Bottle Tuck-end carton | MTT Packaging,"Custom perfume bottle packaging with tuck-end carton construction, coated folding boxboard and gloss varnish and vivid colour printing. Tailor size, artwork and quantity with MTT."
MTT-C0104,https://mttpackaging.com/products/custom-skincare-duo-auto-bottom,custom skincare duo Crash-lock bottom carton,Folding cartons,Custom Skincare Crash-Lock Carton | Printed Kraft,"Printed kraft skincare carton with a pre-glued crash-lock base, tuck top and paperboard support. Review bottle sizes, base assembly and print opacity."
MTT-C0105,https://mttpackaging.com/products/custom-tea-sachets-window-tuck,custom tea sachets Window tuck carton,Folding cartons,Custom Tea Sachets Window tuck carton | MTT Packaging,"Custom tea sachets packaging with window tuck carton construction, pearlescent paperboard and pearlescent sheen with silver foil. Tailor size, artwork and quantity with MTT."
MTT-C0106,https://mttpackaging.com/products/custom-coffee-pouches-sleeve-carton,custom coffee pouches Paperboard sleeve and tray,Folding cartons,Custom Coffee Pouches Paperboard sleeve and tray | MTT Packaging,"Custom coffee pouches packaging with paperboard sleeve and tray construction, white paperboard and matte coating with selective gloss uv. Tailor size, artwork and quantity with MTT."
MTT-C0107,https://mttpackaging.com/products/custom-wrapped-chocolates-pillow,custom wrapped chocolates Pillow carton,Folding cartons,Custom Wrapped Chocolates Pillow carton | MTT Packaging,"Custom wrapped chocolates packaging with pillow carton construction, metallic laminated paperboard and opaque colour printing over metallic base. Tailor size, artwork and quantity with MTT."
MTT-C0108,https://mttpackaging.com/products/custom-sealed-supplement-bottle-gable,custom sealed supplement bottle Gable-top carton,Folding cartons,Custom Sealed Supplement Bottle Gable-top carton | MTT Packaging,"Custom sealed supplement bottle packaging with gable-top carton construction, fine-textured paperboard and debossed motif and spot-colour printing. Tailor size, artwork and quantity with MTT."
MTT-C0109,https://mttpackaging.com/products/custom-candle-jar-hex-carton,custom candle jar Hexagonal tuck carton,Folding cartons,Custom Candle Jar Hexagonal tuck carton | MTT Packaging,"Custom candle jar packaging with hexagonal tuck carton construction, coated folding boxboard and gloss varnish and vivid colour printing. Tailor size, artwork and quantity with MTT."
MTT-C0110,https://mttpackaging.com/products/custom-reed-diffuser-tuck,custom reed diffuser Tuck-end carton,Folding cartons,Custom Reed Diffuser Tuck-end carton | MTT Packaging,"Custom reed diffuser packaging with tuck-end carton construction, uncoated kraft paperboard and opaque colour printing. Tailor size, artwork and quantity with MTT."
MTT-C0111,https://mttpackaging.com/products/custom-wrapped-cookies-auto-bottom,custom wrapped cookies Crash-lock bottom carton,Folding cartons,Custom Wrapped Cookies Crash-lock bottom carton | MTT Packaging,"Custom wrapped cookies packaging with crash-lock bottom carton construction, pearlescent paperboard and pearlescent sheen with silver foil. Tailor size, artwork and quantity with MTT."
MTT-C0112,https://mttpackaging.com/products/custom-sealed-macarons-window-tuck,custom sealed macarons Window tuck carton,Folding cartons,Custom Macaron Window Carton | Sealed Product Display,"Window tuck carton for sealed macarons with paperboard support and matte/spot-UV print. Review tray dimensions, window attachment and food-pack scope."
MTT-C0113,https://mttpackaging.com/products/custom-jewelry-pouch-sleeve-carton,custom jewelry pouch Paperboard sleeve and tray,Folding cartons,Custom Jewelry Pouch Paperboard sleeve and tray | MTT Packaging,"Custom jewelry pouch packaging with paperboard sleeve and tray construction, metallic laminated paperboard and opaque colour printing over metallic base. Tailor size, artwork and quantity with MTT."
MTT-C0114,https://mttpackaging.com/products/custom-silk-scarf-pillow,custom silk scarf Pillow carton,Folding cartons,Custom Silk Scarf Pillow carton | MTT Packaging,"Custom silk scarf packaging with pillow carton construction, fine-textured paperboard and debossed motif and spot-colour printing. Tailor size, artwork and quantity with MTT."
MTT-C0115,https://mttpackaging.com/products/custom-soap-bars-gable,custom soap bars Gable-top carton,Folding cartons,Custom Soap Bars Gable-top carton | MTT Packaging,"Custom soap bars packaging with gable-top carton construction, coated folding boxboard and gloss varnish and vivid colour printing. Tailor size, artwork and quantity with MTT."
MTT-C0116,https://mttpackaging.com/products/custom-lipstick-trio-hex-carton,custom lipstick trio Hexagonal tuck carton,Folding cartons,Custom Lipstick Trio Hexagonal tuck carton | MTT Packaging,"Custom lipstick trio packaging with hexagonal tuck carton construction, uncoated kraft paperboard and opaque colour printing. Tailor size, artwork and quantity with MTT."
MTT-C0117,https://mttpackaging.com/products/custom-stationery-set-tuck,custom stationery set Tuck-end carton,Folding cartons,Custom Stationery Set Tuck-end carton | MTT Packaging,"Custom stationery set packaging with tuck-end carton construction, pearlescent paperboard and pearlescent sheen with silver foil. Tailor size, artwork and quantity with MTT."
MTT-C0118,https://mttpackaging.com/products/custom-Christmas-ornaments-auto-bottom,custom Christmas ornaments Crash-lock bottom carton,Folding cartons,Custom Christmas Ornaments Crash-lock bottom carton | MTT Packaging,"Custom Christmas ornaments packaging with crash-lock bottom carton construction, white paperboard and matte coating with selective gloss uv. Tailor size, artwork and quantity with MTT."
MTT-C0119,https://mttpackaging.com/products/custom-wrapped-mooncakes-window-tuck,custom wrapped mooncakes Window tuck carton,Folding cartons,Custom Wrapped Mooncakes Window tuck carton | MTT Packaging,"Custom wrapped mooncakes packaging with window tuck carton construction, metallic laminated paperboard and opaque colour printing over metallic base. Tailor size, artwork and quantity with MTT."
MTT-C0120,https://mttpackaging.com/products/custom-honey-jar-sleeve-carton,custom honey jar Paperboard sleeve and tray,Folding cartons,Custom Honey Jar Paperboard sleeve and tray | MTT Packaging,"Custom honey jar packaging with paperboard sleeve and tray construction, fine-textured paperboard and debossed motif and spot-colour printing. Tailor size, artwork and quantity with MTT."
MTT-C0121,https://mttpackaging.com/products/custom-hand-cream-duo-pillow,custom hand cream duo Pillow carton,Folding cartons,Custom Hand Cream Duo Pillow carton | MTT Packaging,"Custom hand cream duo packaging with pillow carton construction, coated folding boxboard and gloss varnish and vivid colour printing. Tailor size, artwork and quantity with MTT."
MTT-C0122,https://mttpackaging.com/products/custom-socks-gift-gable,custom socks gift Gable-top carton,Folding cartons,Custom Socks Gift Gable-top carton | MTT Packaging,"Custom socks gift packaging with gable-top carton construction, uncoated kraft paperboard and opaque colour printing. Tailor size, artwork and quantity with MTT."
MTT-C0123,https://mttpackaging.com/products/custom-miniature-fragrance-hex-carton,custom miniature fragrance Hexagonal tuck carton,Folding cartons,Custom Miniature Fragrance Hexagonal tuck carton | MTT Packaging,"Custom miniature fragrance packaging with hexagonal tuck carton construction, pearlescent paperboard and pearlescent sheen with silver foil. Tailor size, artwork and quantity with MTT."
MTT-C0124,https://mttpackaging.com/products/custom-sealed-granola-pouch-tuck,custom sealed granola pouch Tuck-end carton,Folding cartons,Custom Sealed Granola Pouch Tuck-end carton | MTT Packaging,"Custom sealed granola pouch packaging with tuck-end carton construction, white paperboard and matte coating with selective gloss uv. Tailor size, artwork and quantity with MTT."
MTT-C0125,https://mttpackaging.com/products/custom-travel-accessories-auto-bottom,custom travel accessories Crash-lock bottom carton,Folding cartons,Custom Travel Accessories Crash-lock bottom carton | MTT Packaging,"Custom travel accessories packaging with crash-lock bottom carton construction, metallic laminated paperboard and opaque colour printing over metallic base. Tailor size, artwork and quantity with MTT."
MTT-C0126,https://mttpackaging.com/products/custom-tumbler-window-tuck,custom tumbler Window tuck carton,Folding cartons,Custom Tumbler Window tuck carton | MTT Packaging,"Custom tumbler packaging with window tuck carton construction, fine-textured paperboard and debossed motif and spot-colour printing. Tailor size, artwork and quantity with MTT."
MTT-C0127,https://mttpackaging.com/products/custom-tea-tin-sleeve-carton,custom tea tin Paperboard sleeve and tray,Folding cartons,Custom Tea Tin Paperboard sleeve and tray | MTT Packaging,"Custom tea tin packaging with paperboard sleeve and tray construction, coated folding boxboard and gloss varnish and vivid colour printing. Tailor size, artwork and quantity with MTT."
MTT-C0128,https://mttpackaging.com/products/custom-festive-confectionery-pillow,custom festive confectionery Pillow carton,Folding cartons,Custom Festive Pillow Carton | Printed Kraft Gift Pack,"Curved pillow carton for wrapped confectionery with opaque printing on kraft. Review usable volume, crescent end closures and optional gift accessories."
MTT-C0129,https://mttpackaging.com/products/custom-beauty-discovery-set-gable,custom beauty discovery set Gable-top carton,Folding cartons,Custom Beauty Discovery Set Gable-top carton | MTT Packaging,"Custom beauty discovery set packaging with gable-top carton construction, pearlescent paperboard and pearlescent sheen with silver foil. Tailor size, artwork and quantity with MTT."
MTT-C0130,https://mttpackaging.com/products/custom-client-welcome-kit-hex-carton,custom client welcome kit Hexagonal tuck carton,Folding cartons,Custom Client Welcome Kit Hexagonal tuck carton | MTT Packaging,"Custom client welcome kit packaging with hexagonal tuck carton construction, white paperboard and matte coating with selective gloss uv. Tailor size, artwork and quantity with MTT."
MTT-E0103,https://mttpackaging.com/products/custom-perfume-bottle-mailer,custom perfume bottle Roll-end mailer,Corrugated packaging,Custom Perfume Corrugated Mailer | Printed Roll-End Box,"Printed corrugated perfume mailer with a rear-hinged lid and fitted paper support. Review bottle retention, closures and the complete transit sample."
MTT-E0104,https://mttpackaging.com/products/custom-skincare-duo-rsc,custom skincare duo Four-flap shipping carton,Corrugated packaging,Custom Skincare Shipping Carton | Four-Flap Corrugated,"Kraft corrugated shipping carton for skincare sets with four top flaps and paper support. Specify packed weight, dividers, sealing and delivery route."
MTT-E0105,https://mttpackaging.com/products/custom-tea-sachets-corr-sleeve,custom tea sachets Corrugated sleeve and tray,Corrugated packaging,Custom Tea Sachets Corrugated sleeve and tray | MTT Packaging,"Custom tea sachets packaging with corrugated sleeve and tray construction, litho-laminated corrugated board and matte lamination on printed liner. Tailor size, artwork and quantity with MTT."
MTT-E0106,https://mttpackaging.com/products/custom-coffee-pouches-divided-mailer,custom coffee pouches Divided roll-end mailer,Corrugated packaging,Custom Coffee Pouches Divided roll-end mailer | MTT Packaging,"Custom coffee pouches packaging with divided roll-end mailer construction, white-lined corrugated board and colour printing with selective gloss. Tailor size, artwork and quantity with MTT."
MTT-E0107,https://mttpackaging.com/products/custom-wrapped-chocolates-mailer,custom wrapped chocolates Roll-end mailer,Corrugated packaging,Custom Wrapped Chocolates Roll-end mailer | MTT Packaging,"Custom wrapped chocolates packaging with roll-end mailer construction, printed kraft-lined corrugated board and opaque bright ink and dark accents. Tailor size, artwork and quantity with MTT."
MTT-E0108,https://mttpackaging.com/products/custom-sealed-supplement-bottle-rsc,custom sealed supplement bottle Four-flap shipping carton,Corrugated packaging,Custom Sealed Supplement Bottle Four-flap shipping carton | MTT Packaging,"Custom sealed supplement bottle packaging with four-flap shipping carton construction, white-lined corrugated board and colour printing and gloss varnish. Tailor size, artwork and quantity with MTT."
MTT-E0109,https://mttpackaging.com/products/custom-candle-jar-corr-sleeve,custom candle jar Corrugated sleeve and tray,Corrugated packaging,Custom Candle Jar Corrugated sleeve and tray | MTT Packaging,"Custom candle jar packaging with corrugated sleeve and tray construction, kraft-lined corrugated board and two-colour printing. Tailor size, artwork and quantity with MTT."
MTT-E0110,https://mttpackaging.com/products/custom-reed-diffuser-divided-mailer,custom reed diffuser Divided roll-end mailer,Corrugated packaging,Custom Reed Diffuser Divided roll-end mailer | MTT Packaging,"Custom reed diffuser packaging with divided roll-end mailer construction, litho-laminated corrugated board and matte lamination on printed liner. Tailor size, artwork and quantity with MTT."
MTT-E0111,https://mttpackaging.com/products/custom-wrapped-cookies-mailer,custom wrapped cookies Roll-end mailer,Corrugated packaging,Custom Wrapped Cookies Roll-end mailer | MTT Packaging,"Custom wrapped cookies packaging with roll-end mailer construction, white-lined corrugated board and colour printing with selective gloss. Tailor size, artwork and quantity with MTT."
MTT-E0112,https://mttpackaging.com/products/custom-sealed-macarons-rsc,custom sealed macarons Four-flap shipping carton,Corrugated packaging,Custom Sealed Macarons Four-flap shipping carton | MTT Packaging,"Custom sealed macarons packaging with four-flap shipping carton construction, printed kraft-lined corrugated board and opaque bright ink and dark accents. Tailor size, artwork and quantity with MTT."
MTT-E0113,https://mttpackaging.com/products/custom-jewelry-pouch-corr-sleeve,custom jewelry pouch Corrugated sleeve and tray,Corrugated packaging,Custom Jewelry Pouch Corrugated sleeve and tray | MTT Packaging,"Custom jewelry pouch packaging with corrugated sleeve and tray construction, white-lined corrugated board and colour printing and gloss varnish. Tailor size, artwork and quantity with MTT."
MTT-E0114,https://mttpackaging.com/products/custom-silk-scarf-divided-mailer,custom silk scarf Divided roll-end mailer,Corrugated packaging,Custom Silk Scarf Divided roll-end mailer | MTT Packaging,"Custom silk scarf packaging with divided roll-end mailer construction, kraft-lined corrugated board and two-colour printing. Tailor size, artwork and quantity with MTT."
MTT-E0115,https://mttpackaging.com/products/custom-soap-bars-mailer,custom soap bars Roll-end mailer,Corrugated packaging,Custom Soap Bars Roll-end mailer | MTT Packaging,"Custom soap bars packaging with roll-end mailer construction, litho-laminated corrugated board and matte lamination on printed liner. Tailor size, artwork and quantity with MTT."
MTT-E0116,https://mttpackaging.com/products/custom-lipstick-trio-rsc,custom lipstick trio Four-flap shipping carton,Corrugated packaging,Custom Lipstick Trio Four-flap shipping carton | MTT Packaging,"Custom lipstick trio packaging with four-flap shipping carton construction, white-lined corrugated board and colour printing with selective gloss. Tailor size, artwork and quantity with MTT."
MTT-E0117,https://mttpackaging.com/products/custom-stationery-set-corr-sleeve,custom stationery set Corrugated sleeve and tray,Corrugated packaging,Custom Stationery Set Corrugated sleeve and tray | MTT Packaging,"Custom stationery set packaging with corrugated sleeve and tray construction, printed kraft-lined corrugated board and opaque bright ink and dark accents. Tailor size, artwork and quantity with MTT."
MTT-E0118,https://mttpackaging.com/products/custom-Christmas-ornaments-divided-mailer,custom Christmas ornaments Divided roll-end mailer,Corrugated packaging,Custom Christmas Ornaments Divided roll-end mailer | MTT Packaging,"Custom Christmas ornaments packaging with divided roll-end mailer construction, white-lined corrugated board and colour printing and gloss varnish. Tailor size, artwork and quantity with MTT."
